name,cores,length,armor
FIB004,8,150,-1
FIB005,8,125,-1
FIB006,8,125,-1
FIB013,2,100,1
FIB014,2,100,1
FIB048,2,30,1
FIB049,2,30,1
FIB050,2,30,1
FIB051,2,30,1
FIB062,2,100,1
FIB063,2,100,1
FIB067,2,50,1
FIB069,1,50,1
FIB072,2,50,1
FIB076,2,50,1
FIB077,2,50,1
FIB079,2,50,1
FIB083,2,30,-1
FIB085,2,30,-1
FIB087,2,50,1
FIB102,2,80,-1
FIB103,2,80,-1
FIB104,2,80,-1
FIB105,2,80,-1
FIB106,2,80,-1
FIB107,2,50,-1
FIB108,2,50,-1
FIB109,2,50,-1
FIB110,2,45,-1
FIB117,2,175,-1
FIB118,2,175,-1
FIB119,2,175,-1
FIB120,2,175,-1
FIB121,8,1000,-1
FIB122,2,100,1
FIB123,2,100,1
FIB124,2,100,1
FIB125,1,100,1
FIB126,1,100,1
FIB127,1,100,1
FIB128,1,100,1
FIB129,1,100,1
FIB130,1,100,1
FIB131,1,150,1
FIB132,1,150,1
FIB133,1,100,1
FIB134,2,30,1
FIB135,2,30,1
FIB136,2,30,1
FIB137,2,30,1
FIB138,2,30,1
FIB139,2,30,1
FIB140,2,30,1
FIB141,2,30,1
FIB142,2,30,1
FIB143,2,30,1
FIB144,2,30,1
FIB145,2,30,1
FIB146,2,30,1
FIB147,2,30,1
FIB148,2,30,1
FIB150,2,50,1
FIB151,2,50,1
FIB152,2,50,1
FIB153,2,50,1
FIB155,2,50,1
FIB156,2,50,1
FIB157,2,50,1
FIB158,2,50,1
FIB159,2,50,1
FIB160,2,50,1
FIB161,2,50,1
FIB162,2,50,1
FIB163,2,50,1
FIB166,2,75,1
FIB167,2,75,1
FIB168,2,75,1
FIB169,2,75,1
FIB171,2,75,1
FIB172,2,75,1
FIB174,12,200,-1
FIB175,12,200,-1
FIB176,12,200,-1
FIB177,12,200,-1
FIB180,12,200,-1
FIB181,12,200,-1
FIB182,12,200,-1
FIB183,12,200,-1
FIB184,2,160,1
FIB185,2,250,1
FIB186,2,250,1
FIB190,12,248,-1
FIB197,2,175,1
FIB198,2,155,1
FIB199,1,85,1
FIB200,2,50,1
FIB201,8,145,-1
FIB202,2,50,-1
FIB203,6,70,-1
FIB204,4,525,-1
FIB205,2,50,1
FIB206,12,297,-1
FIB207,1,35,1
FIB208,2,175,-1
FIB209,2,225,-1
FIB210,1,50,1
FIB211,1,50,1
FIB218,12,200,-1
FIB219,2,85,1
FIB220,2,150,1
FIB221,2,150,1
FIB222,2,150,1
FIB223,2,150,1
FIB224,2,150,1
FIB225,2,200,1
FIB226,2,200,1
FIB227,2,200,1
FIB228,2,200,1
FIB229,2,200,1
FIB230,2,250,1
FIB231,2,250,1
FIB232,2,250,1
FIB233,2,250,1
FIB234,2,250,1
FIB235,2,30,1
FIB236,2,93,-1
FIB237,2,100,-1
FIB238,2,100,-1
FIB239,2,80,-1
FIB240,2,120,-1
FIB241,2,100,-1
S01,12,322,-1
S02,8,56,-1
S03,12,111,-1
S04,12,59,-1
S05,12,130,-1
S06,8,280,-1
S07,8,90,-1
S08,12,155,-1
S09,12,163,-1
S10,12,146,-1
S11,8,200,-1
S12,12,214,-1
S13,12,130,-1
S15,8,97,-1
S16,8,112,-1
S17,8,250,-1
S18,12,43,-1
S23,8,100,-1
S50,8,215,-1
S51,8,240,-1
S53,8,150,-1
S54,8,105,-1
S55,24,200,-1
S61,12,160,-1
S62,12,160,-1
S63,12,160,-1
S64,12,300,-1
S65,8,190,-1
